id,release_id,image_type,filename,url,source_slug,source_type,width,height,trim_score,notes
1,3354,cover,001_m38841325216.png,,m38841325216,archive_deskew,1080,1080,0.0,
2,3354,reverse,002_m38841325216.png,,m38841325216,archive_deskew,1080,1080,0.0,
3,3354,spine,003_m38841325216.png,,m38841325216,archive,1080,1080,0.0,
4,3355,cover,001_g1224278646.png,,g1224278646,archive_deskew,900,1200,0.58,
5,3355,reverse,002_g1224278646.png,,g1224278646,archive_deskew,900,1200,0.17,
6,3355,tape,003_g1224278646.png,,g1224278646,archive,900,1200,0.0,
15,659,cover,003_1C9PZ.png,,1C9PZ,archive,,,,
17,635,cover,003_Z1vfo.png,,Z1vfo,archive,300,238,0.0,
19,957,cover,003_ZWXps.png,,ZWXps,archive,221,300,0.0,
21,147,cover,004_ZYSfE.png,,ZYSfE,archive,191,300,0.0,
30,1015,cover,003_qYQE5.png,,qYQE5,archive,300,225,0.0,
32,391,cover,002_qal6i.png,,qal6i,archive_deskew,720,960,0.0,
33,391,reverse,003_qal6i.png,,qal6i,archive_deskew,720,960,0.0,
35,691,cover,003_sSunN.png,,sSunN,archive,274,300,0.0,
36,691,cover,014_sSunN.png,,sSunN,archive,200,150,0.0,
38,50,cover,002_unp3M.png,,unp3M,archive_deskew,1200,1600,0.0,
39,50,reverse,003_unp3M.png,,unp3M,archive_deskew,720,960,0.0,
40,50,cover,004_unp3M.png,,unp3M,archive,720,960,0.0,
41,50,spine,005_unp3M.png,,unp3M,archive,960,720,0.0,
42,7,screenshot,001_wAAne.png,,wAAne,archive,1024,768,,
43,7,cover,003_wAAne.png,,wAAne,archive,225,300,0.0,
45,407,cover,002_xZOgs.png,,xZOgs,archive_deskew,1108,1600,0.0,
46,407,tape_spine,003_xZOgs.png,,xZOgs,archive,960,497,0.0,
47,407,spine,004_xZOgs.png,,xZOgs,archive,960,401,0.0,
48,407,reverse,005_xZOgs.png,,xZOgs,archive_deskew,720,960,0.0,
54,170,cover,003_yH1i4.png,,yH1i4,archive_deskew,1600,1066,0.0,
56,1676,cover,003_ydpM1.png,,ydpM1,archive,275,300,4.85,
58,263,cover,002_zz4FD.png,,zz4FD,archive_deskew,1200,1600,0.0,
59,263,reverse,003_zz4FD.png,,zz4FD,archive_deskew,720,960,0.0,
60,263,spine,004_zz4FD.png,,zz4FD,archive,960,720,0.0,
61,263,spine,005_zz4FD.png,,zz4FD,archive,960,720,0.0,
63,1447,cover,002_00IRy.png,,00IRy,archive_good,1600,1600,0.0,
64,1447,reverse,003_00IRy.png,,00IRy,archive,960,960,0.0,
65,1447,spine,004_00IRy.png,,00IRy,archive,960,960,0.0,
68,2621,cover,002_oJOGV.png,,oJOGV,archive_deskew,1200,900,0.0,
69,2621,reverse,003_oJOGV.png,,oJOGV,archive,,,,
70,2621,spine,004_oJOGV.png,,oJOGV,archive,1200,900,0.0,
71,2621,cover,005_oJOGV.png,,oJOGV,archive,1200,900,1.33,
72,2621,cover,006_oJOGV.png,,oJOGV,archive,1200,930,10.86,
73,2621,tape,007_oJOGV.png,,oJOGV,archive,,,,
75,1104,tape_spine,003_oPhwc.png,,oPhwc,archive,1200,1200,0.0,
76,1104,cover,005_oPhwc.png,,oPhwc,archive_deskew,1200,1200,22.98,
77,1104,reverse,006_oPhwc.png,,oPhwc,archive_deskew,1200,1200,2.42,
78,2009,cover,002_oSsey.png,,oSsey,archive_deskew,1200,800,0.0,
79,2009,reverse,004_oSsey.png,,oSsey,archive_deskew,1200,800,0.0,
81,210,cover,002_oTjrc.png,,oTjrc,archive_deskew,1142,1600,0.0,
82,210,reverse,003_oTjrc.png,,oTjrc,archive,685,960,0.0,
83,210,spine,004_oTjrc.png,,oTjrc,archive,319,960,0.0,
84,1122,tape,002_oXyt2.png,,oXyt2,archive,1200,900,6.68,
85,1122,cover,003_oXyt2.png,,oXyt2,archive,1200,900,20.65,
86,1122,reverse,004_oXyt2.png,,oXyt2,archive,1200,900,4.23,
92,1560,cover,002_oi3IS.png,,oi3IS,archive_deskew,900,1200,0.0,
93,1560,reverse,004_oi3IS.png,,oi3IS,archive_deskew,900,1200,0.0,
94,1560,spine,005_oi3IS.png,,oi3IS,archive,900,1200,0.0,
99,736,cover,002_ojuYJ.png,,ojuYJ,archive,1200,1200,9.25,
100,736,reverse,004_ojuYJ.png,,ojuYJ,archive_deskew,1200,1200,0.0,
101,736,tape,005_ojuYJ.png,,ojuYJ,archive,1200,1200,0.0,
112,1572,cover,003_p3p8m.png,,p3p8m,archive,1200,900,0.0,
113,1572,reverse,005_p3p8m.png,,p3p8m,archive,1200,900,0.0,
114,1572,spine,006_p3p8m.png,,p3p8m,archive,1200,900,0.67,
115,1986,bottom,002_pG5G0.png,,pG5G0,archive,640,480,0.0,
116,1986,cover,003_pG5G0.png,,pG5G0,archive_deskew,480,640,0.0,
117,1986,reverse,004_pG5G0.png,,pG5G0,archive_deskew,480,640,0.0,
118,1986,reverse,011_pG5G0.png,,pG5G0,archive,161,214,0.0,
119,1986,spine,012_pG5G0.png,,pG5G0,archive,161,214,0.0,
120,893,cover,001_pG97O.png,,pG97O,archive_deskew,1200,1200,0.0,
121,893,reverse,003_pG97O.png,,pG97O,archive_deskew,1200,1200,0.0,
122,893,spine,004_pG97O.png,,pG97O,archive,1200,1200,,
123,1567,cover_group,001_pIw20.png,,pIw20,archive,,,,
124,1044,cover,002_pThCw.png,,pThCw,archive,901,1200,0.0,
125,1044,spine,004_pThCw.png,,pThCw,archive,898,1198,0.0,
126,1044,reverse,005_pThCw.png,,pThCw,archive_deskew,898,1198,0.0,
127,1540,cover,001_pbFLe.png,,pbFLe,archive_deskew,1600,1200,0.0,
128,1540,reverse,002_pbFLe.png,,pbFLe,archive,,,,
129,1540,tape,003_pbFLe.png,,pbFLe,archive,,,,
130,1540,tape,004_pbFLe.png,,pbFLe,archive,960,720,0.0,
131,959,cover,001_pbwQL.png,,pbwQL,archive_deskew,1200,800,0.0,
132,959,reverse,003_pbwQL.png,,pbwQL,archive,1200,800,0.0,
144,3105,cover,003_q50vQ.png,,q50vQ,archive_deskew,772,611,0.0,
145,3105,reverse,005_q50vQ.png,,q50vQ,archive,395,594,0.0,
146,3105,insert,006_q50vQ.png,,q50vQ,archive_deskew,848,846,0.0,
150,685,cover,002_qJO8v.png,,qJO8v,archive_deskew,1200,900,0.0,
151,685,reverse,004_qJO8v.png,,qJO8v,archive_deskew,1200,900,0.0,
152,685,spine,005_qJO8v.png,,qJO8v,archive,1200,900,0.0,
154,2010,tape,003_qMOfp.png,,qMOfp,archive,600,450,0.0,
155,2010,reverse,005_qMOfp.png,,qMOfp,archive,600,450,0.0,
159,917,cover,002_qmiGu.png,,qmiGu,archive_deskew,1200,1200,0.0,
160,917,reverse,003_qmiGu.png,,qmiGu,archive_deskew,1200,1200,0.0,
161,917,spine,004_qmiGu.png,,qmiGu,archive,1200,1200,0.0,
162,917,tape,005_qmiGu.png,,qmiGu,archive,1200,1200,0.0,
164,1357,cover,003_quBgw.png,,quBgw,archive_deskew,1200,900,0.0,
165,1357,cover,005_quBgw.png,,quBgw,archive,1200,900,0.0,
166,1357,cover,006_quBgw.png,,quBgw,archive,1200,900,0.0,
168,2877,tape,003_rHRMJ.png,,rHRMJ,archive,1200,1200,0.0,
169,2877,cover,004_rHRMJ.png,,rHRMJ,archive_deskew,1200,1200,0.67,
170,2877,spine,005_rHRMJ.png,,rHRMJ,archive,1200,1200,0.83,
171,2877,reverse,012_rHRMJ.png,,rHRMJ,archive,214,214,,
184,1009,cover,003_rhhDt.png,,rhhDt,archive_deskew,1200,800,0.0,
185,1009,reverse,005_rhhDt.png,,rhhDt,archive,1200,800,0.0,
187,1339,cover,003_rmK9G.png,,rmK9G,archive_deskew,600,450,0.0,
188,1339,reverse,005_rmK9G.png,,rmK9G,archive,600,450,0.0,
189,1339,tape,006_rmK9G.png,,rmK9G,archive,600,450,0.0,
190,1339,spine,008_rmK9G.png,,rmK9G,archive,1200,1200,0.0,
192,1673,cover,003_rmnnj.png,,rmnnj,archive,300,225,0.0,
194,1242,cover,003_rpGBu.png,,rpGBu,archive_deskew,808,1200,0.0,
195,1242,reverse,005_rpGBu.png,,rpGBu,archive_deskew,901,1200,0.0,
197,781,cover,002_rscmL.png,,rscmL,archive_deskew,384,512,3.39,
198,781,reverse,004_rscmL.png,,rscmL,archive,384,512,0.0,
199,781,spine,005_rscmL.png,,rscmL,archive,384,512,0.0,
200,1359,cover,001_rxfj3.png,,rxfj3,archive,1024,768,38.18,
201,1359,cover,002_rxfj3.png,,rxfj3,archive,,,,
202,1359,tape,003_rxfj3.png,,rxfj3,archive,834,540,0.0,
204,2240,cover,002_rxzZw.png,,rxzZw,archive_deskew,600,447,0.0,
205,2240,reverse,004_rxzZw.png,,rxzZw,archive_deskew,510,600,0.0,
207,1536,cover,003_rzncr.png,,rzncr,archive_deskew,450,600,0.0,
208,1536,reverse,005_rzncr.png,,rzncr,archive,450,600,0.0,
209,1536,spine,006_rzncr.png,,rzncr,archive,600,600,0.0,
211,2110,spine,003_s0dJR.png,,s0dJR,archive,1200,900,0.0,
212,2110,cover,005_s0dJR.png,,s0dJR,archive_deskew,1200,900,0.0,
213,2110,reverse,006_s0dJR.png,,s0dJR,archive_deskew,1200,900,0.0,
215,1590,cover,003_s4Gr3.png,,s4Gr3,archive,247,381,0.0,
216,1590,tape,005_s4Gr3.png,,s4Gr3,archive,351,226,0.0,
217,1590,reverse,006_s4Gr3.png,,s4Gr3,archive_good,247,381,0.0,
220,1004,cover,002_s4zLW.png,,s4zLW,archive,450,600,0.0,
221,1004,reverse,004_s4zLW.png,,s4zLW,archive,450,600,0.0,
223,770,cover,002_s67za.png,,s67za,archive_deskew,1200,900,0.0,
224,770,reverse,004_s67za.png,,s67za,archive_deskew,1200,900,0.0,
225,770,tape,005_s67za.png,,s67za,archive,1200,900,0.0,
227,478,cover,003_sCo38.png,,sCo38,archive_deskew,1600,1200,0.0,
229,1556,cover,002_sH7AD.png,,sH7AD,archive_deskew,450,600,0.0,
230,1556,reverse,004_sH7AD.png,,sH7AD,archive,450,600,0.0,
234,1405,insert,001_sSDo6.png,,sSDo6,archive,1024,768,38.18,
235,1405,cover,002_sSDo6.png,,sSDo6,archive_good,834,550,0.0,
236,1405,tape,003_sSDo6.png,,sSDo6,archive,834,540,0.0,
238,1098,cover,002_sVQe8.png,,sVQe8,archive_deskew,1600,1145,0.0,
239,1098,spine,003_sVQe8.png,,sVQe8,archive,455,960,0.0,
240,1098,tape,004_sVQe8.png,,sVQe8,archive,960,627,0.0,
242,2039,cover,002_sa4jz.png,,sa4jz,archive_deskew,788,1080,0.0,
243,2039,insert,003_sa4jz.png,,sa4jz,archive,1080,786,0.0,
244,2039,insert,004_sa4jz.png,,sa4jz,archive,1080,747,0.0,
245,2039,tape,005_sa4jz.png,,sa4jz,archive,1080,678,0.0,
246,2039,tape,006_sa4jz.png,,sa4jz,archive,1080,672,0.0,
247,2039,tape_spine,007_sa4jz.png,,sa4jz,archive,599,1080,0.0,
249,2080,tape,003_saZbP.png,,saZbP,archive,600,600,0.0,
250,2080,spine,005_saZbP.png,,saZbP,archive,600,600,0.0,
251,2080,insert,006_saZbP.png,,saZbP,archive,600,600,0.0,
255,709,cover,002_shxue.png,,shxue,archive_good,796,1220,0.0,
256,709,reverse,003_shxue.png,,shxue,archive_good,629,960,0.0,
257,709,spine,004_shxue.png,,shxue,archive,364,960,0.0,
258,709,tape_spine,005_shxue.png,,shxue,archive,362,960,0.0,
261,1448,cover,003_spHK0.png,,spHK0,archive,600,450,0.0,
262,1448,reverse,005_spHK0.png,,spHK0,archive,600,450,0.0,
263,1448,cover,006_spHK0.png,,spHK0,archive_deskew,600,450,0.0,
265,519,cover,002_sqEdW.png,,sqEdW,archive_deskew,1599,1600,0.0,
266,519,reverse,003_sqEdW.png,,sqEdW,archive_deskew,960,960,0.0,
267,519,cover,004_sqEdW.png,,sqEdW,archive,755,960,0.0,
268,519,reverse,005_sqEdW.png,,sqEdW,archive,728,960,0.0,
270,2113,cover,002_sqWF0.png,,sqWF0,archive_deskew,1280,960,0.0,
271,2113,reverse,003_sqWF0.png,,sqWF0,archive_deskew,1280,960,0.0,
272,2113,tape_spine,004_sqWF0.png,,sqWF0,archive,1280,960,0.0,
273,2113,spine,005_sqWF0.png,,sqWF0,archive,1280,960,15.73,
274,2113,cover,006_sqWF0.png,,sqWF0,archive,1280,960,5.0,
275,2113,cover,007_sqWF0.png,,sqWF0,archive,1280,960,0.0,
276,2113,cover_other,008_sqWF0.png,,sqWF0,archive,1280,960,0.0,
277,2113,spine,009_sqWF0.png,,sqWF0,archive,1280,960,0.0,
278,2113,spine,010_sqWF0.png,,sqWF0,archive,1280,960,0.0,
279,2113,spine,011_sqWF0.png,,sqWF0,archive,1280,960,0.0,
280,2113,reverse,012_sqWF0.png,,sqWF0,archive,1280,960,0.0,
281,2113,reverse,013_sqWF0.png,,sqWF0,archive,1280,960,0.0,
282,2113,reverse,014_sqWF0.png,,sqWF0,archive,1280,960,0.0,
