id,name,country,parent_id,notes
1,"""Diamond Co., Ltd.""",,,
2,"""VideoArts Japan, Inc.""",,,
3,"""VideoArts Japan, Inc."", Chrysalis",,,
4,A&M Records,,,
5,"A&M Video, ""VideoArts Japan, Inc.""",,,
6,"AOM Vidéo, Avicom",,,
7,AV Japan Inc.,,,
8,Alice Japan (アリス JAPAN),,,
9,"Alice Japan (アリス JAPAN), JHV (Japan Home Video)",,,
10,Amuse Video,,,
11,Apollon (アポロン),,,
12,Asmac,,,
13,Asmik,,,
14,Atlas Video,,,
15,Bandai,,,
16,"Be-Pal Outing Video, Shogakukan",,,
17,Bell Video,,,
18,Bungeishunjū,,,
19,"Bungeishunjū, International Video Network",,,
20,CBS/FOX Video,,,
21,CBS/Sony,,,
22,CBS/Sony Home Video,,,
23,CCA Japan,,,
24,CMV Enterprises,,,
25,"CMV Enterprises, CBS/Sony",,,
26,"CMV Enterprises, Epic/Sony",,,
27,Cannon Video,,,
28,Carolco Home Video,,,
29,Carolco Home Video / LIVE Home Video,,,
30,"Carolco Home Video, Live Home Video",,,
31,"Carolco Home Video, Pioneer",,,
32,Charter Entertainment,,,
33,Chrysalis,,,
34,Columbia,,,
35,Columbia TriStar Home Video,,,
36,Constantin Video,,,
37,"DEZ, Daiei Video",,,
38,Daiei Video,,,
39,Embassy Home Entertainment,,,
40,Emirates,,,
41,Emotion,,,
42,Empire Entertainment,,,
43,Entertainment Video,,,
44,Epic/Sony,,,
45,Epic/Sony Home Video,,,
46,EuroVideo,,,
47,F.H.E.,,,
48,FOX Video,,,
49,"FOX Video, CBS/FOX Video",,,
50,Five Stars,,,
51,"Five Stars, Kasakura, AV Japan Inc.",,,
52,Fuji,,,
53,Fuji TV,,,
54,Golf Digest,,,
55,"Goro Video, Shogakukan",,,
56,HBO Video,,,
57,Hendring,,,
58,Herald,,,
59,Hollywood Pictures Home Video,,,
60,Hot Dog Press,,,
61,Hughes-Avicom International,,,
62,IVCA,,,
63,International Video Network,,,
64,JHV (Japan Home Video),,,
65,Japan Travel Bureau (JTB),,,
66,Kasakura,,,
67,"Kihosha, Koala Books (コアラブックス)",,,
68,Koala Books (コアラブックス),,,
69,Kodak Video Programs,,,
70,Kodansha,,,
71,Live Home Video,,,
72,MGM/UA Home Video,,,
73,Marketing Film,,,
74,Mimi Video,,,
75,NHK,,,
76,"NHK, CBS/Sony",,,
77,"NHK, Pony (ポニー)",,,
78,"NHK, Sony",,,
79,Nelson Entertainment,,,
80,"New Line Home Video, RCA/Columbia Pictures Home Video",,,
81,Nikkatsu,,,
82,Nippon Herald Films,,,
83,Odyssey Video,,,
84,Ortus Japan,,,
85,Pace Communications/United Airlines,,,
86,"Pacific Arts Video, Pony (ポニー)",,,
87,Pacific Video Product,,,
88,"Pacific Video Product, JHV (Japan Home Video)",,,
89,Palace Video,,,
90,Paramount,,,
91,Paramount 75th Anniversary,,,
92,Paramount Home Video,,,
93,Pia Corporation,,,
94,Pioneer,,,
95,"Pioneer, Carolco Home Video",,,
96,Polystar,,,
97,Pony (ポニー),,,
98,Pony Canyon,,,
99,Power Sports (パワースポーツ),,,
100,Qantas Airlines,,,
101,RCA/Columbia Pictures Home Video,,,
102,RCA/Columbia Pictures International Video,,,
103,"RCA/Columbia Pictures International Video, Columbia TriStar Home Video",,,
104,RKO Pictures,,,
105,Rank Video,,,
106,SF Productions,,,
107,SHV (Shochiku Home Video),,,
108,SMV Enterprises,,,
109,"SMV Enterprises, Sony Records",,,
110,SVI,,,
111,SVS/Triumph Home Video,,,
112,Sanrio Video,,,
113,Scholar,,,
114,Select Video,,,
115,Shogakukan,,,
116,Shueisha,,,
117,Shufunotomo Video,,,
118,Sony,,,
119,Sony Homevideo Library,,,
120,Sony Records,,,
121,Sony Trans Com Inc.,,,
122,Southern Cross Video Arts,,,
123,"Success, Alice Japan (アリス JAPAN), JHV (Japan Home Video)",,,
124,Suncrown,,,
125,TBS Brittanica Video,,,
126,TBS Video,,,
127,"TV Asahi, CBS/Sony",,,
128,Taurus Video,,,
129,Thorn EMI,,,
130,Toei Video,,,
131,Toemi Video,,,
132,Toppic Video,,,
133,Touchstone Home Video,,,
134,Towa Video,,,
135,"Towa Video, Carolco Home Video",,,
136,"Towa Video, Carolco Home Video, Carolco/LIVE Home Video",,,
137,"Towa Video, Epic/Sony",,,
138,"Tri-Star Pictures, SVS/Triumph",,,
139,Turner Home Entertainment,,,
140,United Airlines,,,
141,V.C.,,,
142,VOS Vidéo,,,
143,Vap Video,,,
144,Varig Brazilian Airlines,,,
145,Vestron Video International,,,
146,"Vestron Video International, Pony Canyon",,,
147,"Vestron Video International, Vestron/Pony",,,
148,Video Champ,,,
149,Video MBS,,,
150,Video TBS,,,
151,Video Yesteryear,,,
152,VideoBook,,,
153,View Video,,,
154,Walt Disney Home Video,,,
155,Warner Home Video,,,
156,"Warner Home Video, Cannon Video",,,
157,Warner Home Video/UA,,,
158,Warner-Pioneer,,,
