id,title_id,title_release,title_release_lang,catalog_number,release_date,country_release,encoding,runtime_mins,list_price,upc,isbn,audio_format,audio_language,audio_dubbed,subtitle_language,promo,notes
1,1,,,8mm 2183,1986,US,NTSC,118,,0-4299-52183-8,,Digital Stereo,,,English (CC),,
2,2,,,,,US,NTSC,,,,,,,,,,
3,3,,,,1989,US,NTSC,122,,,,,,,,,
4,4,,,27898,1993,US,NTSC,138,,,,,,,,,
5,5,,,51228,1992,US,NTSC,127,,,,,,,,,
6,6,,,,,US,NTSC,,,,,,,,,,Cf. This VHS release https://archive.vn/QV6gj
7,7,,,,,US,NTSC,,,,,,,,,,
8,8,,,,1993,US,NTSC,124,,0-43396-51578-9,,,,,,,
9,9,,,32357,1991,US,NTSC,93,,0-9736-32357-81,,,,,,,
10,10,,,7570,1988,US,NTSC,117,,,,,,,,,
11,11,,,11786,1988,US,NTSC,99,,85391178682,,,,,,,
12,12,,,,,US,NTSC,,,,,,,,,,
13,13,,,32806,1994,US,NTSC,94,,0-9736-32806-82,0-7921-3093-6,Digital Hi-Fi/Stereo,,,English (CC),,
14,14,,,59508,,US,NTSC,102,,,,Digital Hi-Fi Stereo,,,English (CC),,
15,15,,,,1986,US,NTSC,122,,,,Digital Stereo,,,English (CC),,
16,16,,,68931,1990,US,NTSC,113,,0-1223-68931-89,1-55658-428-8,Digital/Hi-Fi Stereo,,,English (CC),,
17,17,,,8mm 1305,1986,US,NTSC,88,,n/a,,Digital Mono,,,,,
18,18,,,ME301868,1990,US,NTSC,85,,0-2761-61868-81,0-7928-0424-4,Stereo/Hi-Fi,,,English (CC),,
19,19,,,,1987,US,NTSC,114,,,,Digital Mono,,,,,
20,20,,,,,US,NTSC,113,,,,,,,,,
21,21,,,,,US,NTSC,126,,,,,,,,,
22,22,,,,,US,NTSC,,,,,,,,,,Cf. This VHS release https://archive.vn/m6mk5
23,23,,,,,US,NTSC,,,,,,,,,,Cf. This VHS release https://archive.vn/T819P
24,24,,,80122,1986,US,NTSC,120,,0-43396-80122,,Digital Mono,,,,,
25,25,,,,,US,NTSC,,,,,,,,,,
26,26,,,,,US,NTSC,,,,,,,,,,
27,27,,,80127,1990,US,NTSC,128,,0-43396-80127-1,0-8001-0109-X,Digital Stereo Dolby Surround,,,English (CC),,
28,28,,,32386,1991,US,NTSC,98,,0-9736-32386-83,0-7921-1929-0,Digital Hi-Fi/Stereo,,,English (CC),,
29,29,,,70688,1991,US,NTSC,98,,,,Dolby Digital Stereo,,,English (CC),,
30,30,,,108008,,US,NTSC,110,,,,Digital Stereo,,,English (CC),,
31,31,,,22020,1986,US,NTSC,97,,0-85392-20208-9,,Digital Mono,,,,,
32,32,,,11811,1988,US,NTSC,113,,0-85391-18118-7,,Digital Stereo Dolby Surround,,,English (CC),,
33,33,,,70548,1991,US,NTSC,126,,,,Dolby Digital Stereo,,,English (CC),,
