id,title_original,title_original_lang,title_en,title_ja,year_made,content_type,country_origin
1,A Chorus Line,en,,,1985,Film,
2,A Christmas Memory,en,,,1966,Film,
3,A Cry in the Dark,en,,,1988,Film,
4,A Few Good Men,en,,,1992,Film,US
5,A League of Their Own,en,,,1992,Film,
6,A New Life,en,,,1988,Film,
7,A Night at the Opera,en,,,1935,Film,
8,A River Runs Through It,en,,,1992,Film,
9,A Show of Force,en,,,1990,Film,
10,A Time of Destiny,en,,,1988,Film,
11,Above the Law,en,,,1988,Film,
12,Ace Ventura: Pet Detective,en,,,1994,Film,
13,Addams Family Values,en,,,1993,Film,
14,Adventures in Babysitting,en,,,1987,Film,
15,Against All Odds,en,,,1984,Film,
16,Air America,en,,,1990,Film,
17,Airplane!,en,,,1980,Film,
18,All Dogs Go to Heaven,en,,,1989,Film,
19,An American in Paris,en,,,1951,Film,
20,An Innocent Man,en,,,1989,Film,
21,An Officer and a Gentleman,en,,,1982,Film,
22,Anatomy of a Seduction,en,,,1979,Film,
23,And Baby Makes Six,en,,,1979,Film,
24,And Justice for All,en,,,1979,Film,
25,Angel in a Taxi,en,,,1958,Film,
26,Animal Farm,en,,,1954,Film,
27,Annie,en,,,1982,Film,
28,Another 48 Hrs.,en,,,1990,Film,
29,Another You,en,,,1991,Film,
30,Arachnophobia,en,,,1990,Film,
31,Arthur,en,,,1981,Film,
32,Arthur 2: On the Rocks,en,,,1988,Film,
33,Avalon,en,,,1990,Film,
34,Awakenings,en,,,1990,Film,
35,Babar: The Movie,en,,,1989,Film,
36,Barfly,en,,,1987,Film,
37,Baseball the Pete Rose Way,en,,,1986,Film,
38,Basic Instinct,en,,,1992,Film,
39,Batman,en,,,1989,Film,
40,Batman Returns,en,,,1992,Film,
41,Beaches,en,,,1988,Film,
42,Beetlejuice,en,,,1988,Film,
43,Benefit of the Doubt,en,,,1993,Film,
44,Best Boy,en,,,1979,Film,
45,Betsy's Wedding,en,,,1990,Film,
46,Beverly Hills Cop,en,,,1984,Film,
47,Beverly Hills Cop II,en,,,1987,Film,
48,Beverly Hills Cop III,en,,,1994,Film,
49,Big Business,en,,,1988,Film,
50,Big Top Pee-Wee,en,,,1988,Film,
51,Bill & Ted's Excellent Adventure,en,,,1989,Film,
52,Bill Cosby: 49,en,,,1987,Film,
53,Black Rain,en,,,1989,Film,
54,Blade Runner,en,,,1982,Film,
55,Blood Red,en,,,1989,Film,
56,Blue Chips,en,,,1994,Film,
57,Blue Steel,en,,,1990,Film,
58,Body Parts,en,,,1991,Film,
59,Bon Voyage Charlie Brown,en,,,1980,Film,
60,Book of Love,en,,,1990,Film,
61,Boyz N the Hood,en,,,1991,Film,
62,Bram Stoker's Dracula,en,,,1992,Film,
63,Braveheart,en,,,1995,Film,
64,Breaker Morant,en,,,1980,Film,
65,Breakfast At Tiffany's,en,,,1961,Film,
66,Brigadoon,en,,,1954,Film,
67,Bugsy,en,,,1991,Film,
68,Bugsy Malone,en,,,1976,Film,
69,Cabiria,en,,,1914,Film,
70,Caddyshack 2,en,,,1988,Film,
71,Calendar Girl,en,,,1993,Film,
72,Candyman,en,,,1992,Film,
73,Car Crash,en,,,1981,Film,
74,Carnal Knowledge,en,,,1971,Film,
75,Casablanca,en,,,1942,Film,
76,Casualties of War,en,,,1989,Film,
77,Chances Are,en,,,1989,Film,
78,Chaplin,en,,,1992,Film,
79,Charlotte's Web,en,,,1973,Film,
80,Children of a Lesser God,en,,,1986,Film,
81,Chinatown,en,,,1974,Film,
82,Christine,en,,,1983,Film,
83,Cinema Paradiso,en,,,1988,Film,Italy
84,Citizen Kane,en,,,1941,Film,
85,City of Hope,en,,,1991,Film,
86,City of Joy,en,,,1992,Film,
87,City Slickers,en,,,1991,Film,
88,Clean and Sober,en,,,1988,Film,
89,Clear and Present Danger,en,,,1994,Film,
90,Cliffhanger,en,,,1993,Film,
91,Clueless,en,,,1995,Film,
92,Cocktail,en,,,1988,Film,
93,Cohen and Tate,en,,,1988,Film,
94,Coming To America,en,,,1988,Film,
95,Coneheads,en,,,1993,Film,
96,Congo,en,,,1995,Film,
97,Cookie,en,,,1989,Film,
98,Cousins,en,,,1989,Film,
99,Crazy People,en,,,1990,Film,
100,Crocodile Dundee,en,,,1986,Film,
101,Crocodile Dundee II,en,,,1988,Film,
102,Cross of Iron,en,,,1977,Film,
103,Crossing Delancey,en,,,1988,Film,
104,Curly Sue,en,,,1991,Film,
105,Dangerous Liaisons,en,,,1988,Film,
106,Dave,en,,,1993,Film,
107,David Horowitz Presents: The Baby-Safe Home,en,,,1985,Film,
108,Days of Thunder,en,,,1990,Film,
109,Dead Again,en,,,1991,Film,
110,Dead Bang,en,,,1989,Film,
111,Dead Calm,en,,,1989,Film,
112,Dead Poets Society,en,,,1989,Film,
113,Defending Your Life,en,,,1991,Film,
114,Delirious,en,,,1991,Film,
115,Demolition Man,en,,,1993,Film,
116,Dennis the Menace,en,,,1993,Film,
117,Desperado,en,,,1995,Film,
118,Dick Tracy,en,,,1990,Film,
119,Dinner at Eight,en,,,1933,Film,
120,Dirty Harry,en,,,1971,Film,
121,Doc Hollywood,en,,,1991,Film,
122,Dogfight,en,,,1991,Film,
123,Don't Tell Mom the Babysitter's Dead,en,,,1991,Film,
124,Double Impact,en,,,1991,Film,
125,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",en,,,1964,Film,
126,Dreams,en,,,1990,Film,
127,Driving Miss Daisy,en,,,1989,Film,
128,Drop Zone,en,,,1994,Film,
129,Easy Rider,en,,,1969,Film,
130,Echo Park,en,,,1985,Film,
131,Eddie and the Cruisers,en,,,1983,Film,
132,Eddie Murphy Raw,en,,,1987,Film,
133,Educating Rita,en,,,1983,Film,
134,El Mariachi,en,,,1992,Film,
135,Eleni,en,,,1985,Film,
136,Empire of the Sun,en,,,1987,Film,
137,Enchanted April,en,,,1991,Film,
138,Ernest Goes to Camp,en,,,1987,Film,
139,Eve of Destruction,en,,,1991,Film,
140,Everybody's All-American,en,,,1988,Film,
141,Extremities,en,,,1986,Film,
142,Falling Down,en,,,1993,Film,
143,Family Business,en,,,1989,Film,
144,Far North,en,,,1988,Film,
145,Fast Getaway,en,,,1991,Film,
146,Fat Man and Little Boy,en,,,1989,Film,
147,Fatal Attraction,en,,,1987,Film,
148,Father of the Bride,en,,,1991,Film,
149,Ferris Bueller's Day Off,en,,,1986,Film,
150,Final Analysis,en,,,1992,Film,
151,First Knight,en,,,1995,Film,
152,Five Easy Pieces,en,,,1970,Film,
153,Flashdance,en,,,1983,Film,
154,Flatliners,en,,,1990,Film,
155,Flight of the Intruder,en,,,1991,Film,
156,Footloose,en,,,1984,Film,
157,Forever Young,en,,,1992,Film,
158,Forrest Gump,en,,,1994,Film,
159,Foul Play,en,,,1978,Film,
160,Frankie and Johnny,en,,,1991,Film,
161,Free Willy,en,,,1993,Film,
162,From Here to Eternity,en,,,1953,Film,
163,From Russia with Love,en,,,1963,Film,
164,Full Metal Jacket,en,,,1987,Film,
165,Funny About Love,en,,,1990,Film,
166,Funny Face,en,,,1957,Film,
167,Geronimo: An American Legend,en,,,1993,Film,
168,Ghost,en,,,1990,Film,
169,Ghostbusters,en,,,1984,Film,
170,Ghostbusters II,en,,,1989,Film,
171,Gigi,en,,,1958,Film,
172,Glory,en,,,1989,Film,
173,"Good Morning, Vietnam",en,,,1987,Film,
174,Goodfellas,en,,,1990,Film,
175,Gremlins 2: The New Batch,en,,,1990,Film,
176,Groundhog Day,en,,,1993,Film,
177,Guarding Tess,en,,,1994,Film,
178,Guilty By Suspicion,en,,,1991,Film,
179,Gung Ho,en,,,1986,Film,
180,Half Moon Street,en,,,1986,Film,
181,Hamlet,en,,,1990,Film,
182,Hard Promises,en,,,1991,Film,
183,Hard To Kill,en,,,1990,Film,
184,Harley Davidson and the Marlboro Man,en,,,1991,Film,
185,Harold and Maude,en,,,1971,Film,
186,Hawks,en,,,1988,Film,
187,"He Said, She Said",en,,,1991,Film,
188,Hear ‘n Aid: The Sessions,en,,,1985,Film,
189,Heartbreak Ridge,en,,,1986,Film,
190,Heartburn,en,,,1986,Film,
191,Her Alibi,en,,,1989,Film,
192,Hero,en,,,1992,Film,
193,High Frequency,en,,,1988,Film,
194,High Season,en,,,1987,Film,
195,High Society,en,,,1956,Film,
196,High Tide,en,,,1987,Film,
197,Highlander 2: The Quickening,en,,,1991,Film,
198,Homicide,en,,,1991,Film,
199,Honey Honey,en,,,1981,Film,
200,Honeyboy,en,,,1982,Film,
201,Hook,en,,,1991,Film,
202,Hope and Glory,en,,,1987,Film,
